train_loss,test_loss
0.011155719794332981,4.393477737903595e-05
0.004478079073131085,4.330303519964218e-05
0.0043122746534645555,4.0975965559482575e-05
0.004198254097253084,4.24947664141655e-05
0.004104282863438129,4.01206836104393e-05
0.003955037083476782,3.6565873771905896e-05
0.003755532421171665,3.6914080381393435e-05
0.003619923435151577,3.526344895362854e-05
0.00346119075268507,3.504268079996109e-05
0.003418626751750708,3.423025459051132e-05
0.003362939354032278,3.2731913030147556e-05
0.0033629058469086884,3.609680011868477e-05
0.003383134124800563,3.292957693338394e-05
0.0032693015672266485,3.2984204590320584e-05
0.003347531422972679,3.456579893827438e-05
0.003357432771474123,3.313686698675156e-05
0.003311250990256667,3.3918052911758426e-05
0.0034477760326117276,3.132057189941406e-05
0.0033203825913369657,3.2351188361644745e-05
0.003281641948968172,3.3301737159490586e-05
0.003293871304020286,3.213141113519668e-05
0.0033250212334096432,3.263531625270844e-05
0.003160417754203081,3.2372407615184784e-05
0.003237968461588025,3.3138062804937365e-05
0.003196876624599099,3.1597569584846495e-05
0.003114967415109277,3.0602548271417615e-05
0.0030202128756791355,3.0176229774951934e-05
0.003090108625590801,2.9075102880597113e-05
0.0027939570527523755,2.7116965502500533e-05
0.0026984963584691284,2.484850212931633e-05
0.002512500260025263,2.46441550552845e-05
0.0024504143502563237,2.3878136649727823e-05
0.0024044460225850343,2.3901084437966348e-05
0.0023853345923125742,2.3562343791127205e-05
0.002364999573677778,2.4163024500012396e-05
0.0024444980174303053,2.4008244276046752e-05
0.002411109125241637,2.3548118770122527e-05
0.0023757763393223285,2.385217696428299e-05
0.0023936307951807974,2.3852787911891938e-05
0.002364846074953675,2.3874368518590927e-05
0.0023761969804763795,2.4714771658182144e-05
0.002391852321103215,2.37895417958498e-05
0.0023518417328596115,2.371901273727417e-05
0.0025443471930921076,2.3231212049722672e-05
0.002354379938915372,2.314029447734356e-05
0.0023606573138386013,2.5982011109590532e-05
0.002494713196530938,2.6298599317669868e-05
0.002476753033697605,2.393224835395813e-05
0.0023199264947324993,2.3146437481045722e-05
0.002307928703725338,2.3127799853682518e-05
0.0024500628896057604,2.439437061548233e-05
0.0023615500908344984,2.3232551291584967e-05
0.0022980021480470897,2.2740498185157775e-05
0.0023752886056900026,2.552676200866699e-05
0.0024400196094065906,2.3248568177223205e-05
0.00228335259296,2.2877123206853866e-05
0.0023171459827572107,2.4062130600214004e-05
0.0023310852777212857,2.3099517449736597e-05
0.0023166421093046667,2.3915164172649383e-05
0.0023224841579794885,2.3230159655213356e-05
0.0022830731365829707,2.376340888440609e-05
0.0023223754707723857,2.3811738938093185e-05
0.00232274286262691,2.2675925865769386e-05
0.002357343528419733,2.403842657804489e-05
0.0025077605918049813,2.4837119504809378e-05
0.0023720305021852255,2.246317081153393e-05
0.002250903429463506,2.3363152518868445e-05
0.002275830637663603,2.3166781291365623e-05
0.0023239308968186377,2.2844910621643066e-05
0.002289677934721112,2.2857122123241426e-05
0.0022590136919170617,2.3965001106262205e-05
0.0022700797189027073,2.2880841046571733e-05
0.002338957328349352,2.488894574344158e-05
0.0023530020955950023,2.2438090294599533e-05
0.002263026909902692,2.247198298573494e-05
0.00220906344614923,2.2161928936839102e-05
0.0022239258587360383,2.286956459283829e-05
0.0022447684966027735,2.1896123886108398e-05
0.002234348885715008,2.19154953956604e-05
0.0022538032233715057,2.251466363668442e-05
0.0022414760701358317,2.2174250334501265e-05
0.002238283824175596,2.2660285234451293e-05
0.0021879995185881853,2.26849764585495e-05
0.0023574525993317365,2.3041361942887305e-05
0.002195525387302041,2.2133655846118926e-05
0.002186989003792405,2.1387536078691482e-05
0.0021427815202623604,2.2340975701808928e-05
0.002188178950920701,2.2409770637750626e-05
0.0023106867913156746,2.2854875773191453e-05
0.0023099864926189183,2.112451381981373e-05
0.0021819949392229317,2.1454472094774245e-05
0.002120565839111805,2.139094099402428e-05
0.0021531177964061498,2.1724147722125054e-05
0.002123153641819954,2.209453471004963e-05
0.0021552922334522008,2.1452538669109346e-05
0.002217734703794122,2.112465351819992e-05
0.002201461810618639,2.161255106329918e-05
0.002059797557070851,2.1011155098676682e-05
0.0020227632112801075,1.9790120422840118e-05
0.002058996047824621,2.059568651020527e-05
0.0020958811920136215,2.0633839070796968e-05
0.0020746124852448703,2.226322516798973e-05
0.0021020057201385496,1.9978515803813934e-05
0.001998702047392726,2.0076362416148187e-05
0.002097261706367135,2.012556418776512e-05
0.002012495867908001,1.9392803311347963e-05
0.001991449814289808,2.068101242184639e-05
0.0020438517071306706,2.4519901722669603e-05
0.002061450932174921,2.3242708295583726e-05
0.001956792827695608,2.0269548520445823e-05
0.00194942606985569,1.940285041928291e-05
0.001907029515132308,1.888360269367695e-05
0.001936451381072402,1.966266706585884e-05
0.0019520076941698789,2.0311247557401657e-05
0.001927562352269888,1.9760940223932267e-05
0.0019717084672302007,2.0513342693448066e-05
0.001926040755584836,1.9471704959869384e-05
0.0018908779211342336,1.8658410757780074e-05
0.0019033035077154637,1.8468983471393584e-05
0.0019326289705932141,2.0483173429965972e-05
0.0018718339987099171,1.8665481358766555e-05
0.0018938607946038246,1.870734617114067e-05
0.001852566372603178,1.8953049555420876e-05
0.001851668793708086,1.981460861861706e-05
0.0019383735675364733,1.8653033301234246e-05
0.0018747812155634166,1.7838653177022934e-05
0.0018478142414242028,1.926817372441292e-05
0.0018527053333818912,1.8836649134755135e-05
0.0017979225907474757,1.8107354640960693e-05
0.0018984630107879638,2.047882601618767e-05
0.001907159512862563,2.0318252965807916e-05
0.0018104420863091946,1.761721447110176e-05
0.0017501161061227323,1.9719190895557403e-05
0.0018070136159658431,1.8228668719530104e-05
0.0017838855879381298,1.765264943242073e-05
0.0017331328680738806,1.900384575128555e-05
0.0017088096244260668,1.6917388886213302e-05
0.0016622568173334002,1.5244272537529469e-05
0.0015769025385379792,1.709909550845623e-05
0.0016187539650127291,1.5267699025571345e-05
0.0016682089138776064,1.5952490270137787e-05
0.0016319276606664062,1.7070624977350235e-05
0.0015794322192668915,1.6005145385861397e-05
0.0015174521822482348,1.5665382146835328e-05
0.0015785222221165896,1.483793556690216e-05
0.0015151722943410276,1.596950925886631e-05
0.0015190039118751883,1.565864123404026e-05
0.001502404075115919,1.6251718625426294e-05
0.001489727928303182,1.4196913689374923e-05
0.0015143174109980464,1.4688362367451191e-05
0.0014381437888368964,1.4459814876317978e-05
0.0014980576345697046,1.532525196671486e-05
0.0014577360535040498,1.3759512454271317e-05
0.001487419125624001,1.5423689968883993e-05
0.0014486027173697949,1.4970461837947369e-05
0.00145239719748497,1.4039905741810799e-05
0.0013946863124147057,1.4412196353077888e-05
0.001461012378334999,1.4267590828239918e-05
0.0014153960458934307,1.4866583980619907e-05
0.0014443200333043933,1.4021004550158978e-05
0.0013975317645817996,1.5742767602205278e-05
0.001413860128261149,1.433573942631483e-05
0.0014165806919336319,1.4495698735117913e-05
0.001408182082697749,1.4054875820875169e-05
0.001419134777970612,1.3986285775899887e-05
0.0013844377361238002,1.406334899365902e-05
0.001412679499015212,1.7643937841057777e-05
0.0014790215836837889,1.4502624981105328e-05
0.0014061268717050553,1.4427771791815757e-05
0.0014119551489129663,1.3669703155755997e-05
0.001375118418596685,1.556418091058731e-05
0.001415208000689745,1.4005761593580246e-05
0.001415441737510264,1.3949399814009667e-05
