,Unnamed: 0,N,close_U,F,coeffs,method
10,10,2,True,"[1.         0.9999969  0.9999902  0.99998325 0.9999779  0.9999751
 0.99997497 0.9999769  0.9999802  0.99998415 0.99998814 0.99999166
 0.9999945  0.99999666 0.9999979  0.9999987  0.99999917 0.9999993
 0.9999994  0.9999995  0.9999995  0.99999964 0.9999997  0.99999964
 0.99999964 0.9999995  0.9999994  0.9999993  0.99999917 0.99999905
 0.999999   0.9999989  0.99999905 0.9999991  0.9999991  0.99999917
 0.99999917 0.9999991  0.9999991  0.999999   0.999999   0.99999905
 0.9999989  0.999999   0.99999905 0.9999991  0.9999992  0.99999934
 0.9999994  0.9999994  0.99999934 0.9999994  0.99999934 0.99999917
 0.9999991  0.999999   0.999999   0.9999988  0.9999989  0.99999887
 0.999999   0.999999   0.9999989  0.99999887 0.9999986  0.9999984
 0.99999803 0.99999744 0.99999684 0.9999962  0.9999956  0.9999952
 0.9999949  0.99999475 0.99999505 0.99999577 0.9999966  0.99999774
 0.99999875 0.9999995  0.9999998  0.9999991  0.9999971  0.99999356
 0.99998826 0.99998105 0.9999721  0.9999617  0.99995047 0.9999391
 0.9999287  0.99992037 0.9999153  0.9999145  0.9999189  0.99992853
 0.9999432  0.99996126 0.99997985 0.99999475 0.99999934]","[[1.4814209 0.7685019 1.4985794]
 [4.998341  5.9372077 4.137809 ]
 [0.6280991 0.1572805 2.6356785]]",trotter
11,11,2,False,"[0.99994236 0.999787   0.99970126 0.9996716  0.9996835  0.99972165
 0.9997725  0.9998227  0.99986273 0.9998847  0.9998842  0.99986064
 0.99981624 0.9997557  0.99968696 0.999619   0.99956113 0.9995227
 0.9995115  0.99953306 0.99958944 0.99968046 0.99980175 0.9999451
 1.0001018  1.0002599  1.0004069  1.0005323  1.0006251  1.0006788
 1.0006889  1.0006547  1.000578   1.0004652  1.000325   1.0001662
 1.0000004  0.9998387  0.99969137 0.9995657  0.9994693  0.9994053
 0.9993761  0.9993805  0.9994154  0.9994772  0.99956036 0.99965775
 0.99976397 0.9998727  0.99997777 1.0000746  1.000159   1.0002278
 1.000279   1.000311   1.0003239  1.0003179  1.0002947  1.0002558
 1.0002046  1.0001432  1.0000759  1.0000058  0.99993765 0.99987435
 0.9998197  0.99977684 0.99974775 0.9997341  0.99973685 0.99975497
 0.9997878  0.9998331  0.99988794 0.9999493  1.0000126  1.0000739
 1.0001296  1.000175   1.000207   1.0002214  1.0002167  1.0001906
 1.0001427  1.000073   0.9999835  0.99987704 0.99975723 0.99963033
 0.9995031  0.99938357 0.99928087 0.99920475 0.9991659  0.9991746
 0.99924123 0.9993756  0.99958616 0.9998802  1.0002625 ]","[[1.4814209 0.7685019 1.4985794]
 [4.998341  5.9372077 4.137809 ]
 [0.6280991 0.1572805 2.6356785]]",trotter
12,12,2,True,"[1.         0.99999416 0.9999805  0.99996334 0.9999467  0.99993277
 0.99992305 0.9999183  0.9999182  0.9999225  0.99992985 0.9999397
 0.9999507  0.9999616  0.999972   0.99998105 0.9999884  0.99999386
 0.99999744 0.99999934 0.99999994 0.9999996  0.9999985  0.9999972
 0.99999577 0.9999945  0.99999356 0.9999931  0.99999285 0.999993
 0.99999356 0.9999942  0.999995   0.9999959  0.9999969  0.9999976
 0.99999833 0.9999989  0.9999994  0.99999976 0.9999999  0.9999998
 0.9999997  0.9999995  0.99999917 0.9999986  0.99999815 0.99999774
 0.9999973  0.9999969  0.9999967  0.99999654 0.9999966  0.9999968
 0.9999971  0.9999976  0.99999803 0.9999985  0.99999887 0.9999992
 0.9999992  0.99999905 0.99999857 0.99999785 0.9999967  0.9999955
 0.99999416 0.99999285 0.9999916  0.9999906  0.99999    0.9999898
 0.9999901  0.99999094 0.9999921  0.9999936  0.99999535 0.9999971
 0.9999985  0.9999996  0.99999994 0.9999995  0.99999785 0.9999953
 0.99999136 0.99998647 0.99998045 0.99997395 0.9999672  0.9999606
 0.99995476 0.99995047 0.99994814 0.9999483  0.9999514  0.9999575
 0.9999663  0.9999768  0.99998766 0.9999965  0.99999994]","[[1.1908971 1.4497635 0.8844794]
 [4.97288   2.4433274 3.8725884]
 [0.9011923 2.1145442 4.384038 ]]",trotter
13,13,2,False,"[1.         0.99895126 0.9982412  0.99782515 0.99765694 0.9976908
 0.99788195 0.99818784 0.99856704 0.99898416 0.9994047  0.99980164
 1.0001515  1.0004342  1.0006396  1.0007595  1.0007914  1.0007387
 1.0006067  1.000407   1.0001523  0.99985814 0.9995413  0.99921626
 0.9989018  0.9986112  0.99835867 0.9981547  0.99800795 0.99792415
 0.99790573 0.99795234 0.99806154 0.99822855 0.99844515 0.99870336
 0.9989935  0.99930376 0.999624   0.99994296 1.0002491  1.0005344
 1.0007893  1.0010068  1.001181   1.0013087  1.0013869  1.0014153
 1.0013951  1.0013297  1.0012227  1.00108    1.0009086  1.0007155
 1.0005094  1.000298   1.0000898  0.9998924  0.99971336 0.99955827
 0.9994314  0.99933684 0.9992763  0.99925053 0.99925745 0.99929523
 0.99935985 0.99944705 0.99955064 0.99966514 0.9997853  0.9999048
 1.000019   1.0001224  1.0002129  1.0002863  1.0003414  1.0003766
 1.0003915  1.0003856  1.0003594  1.0003132  1.0002481  1.0001644
 1.0000632  0.99994504 0.99981165 0.9996652  0.9995081  0.9993443
 0.99917936 0.9990209  0.99887764 0.9987617  0.9986867  0.99866915
 0.9987275  0.9988837  0.99916106 0.9995838  1.0001776 ]","[[1.1908971 1.4497635 0.8844794]
 [4.97288   2.4433274 3.8725884]
 [0.9011923 2.1145442 4.384038 ]]",trotter
14,14,2,True,"[0.9998825  0.9999259  0.99995697 0.9999774  0.9999892  0.999994
 0.9999935  0.9999893  0.99998283 0.99997526 0.99996763 0.99996084
 0.9999556  0.99995226 0.999951   0.9999519  0.9999548  0.9999594
 0.99996525 0.9999717  0.99997836 0.9999848  0.99999034 0.99999475
 0.99999785 0.9999995  0.9999998  0.9999989  0.99999726 0.999995
 0.9999927  0.99999076 0.9999893  0.99998856 0.9999886  0.99998933
 0.9999905  0.99999183 0.9999932  0.99999416 0.9999946  0.9999946
 0.9999941  0.99999344 0.99999285 0.99999267 0.9999929  0.9999939
 0.9999954  0.9999971  0.9999986  0.99999964 0.9999995  0.9999983
 0.9999957  0.9999919  0.9999873  0.9999826  0.9999783  0.99997497
 0.99997306 0.99997276 0.99997413 0.9999768  0.9999803  0.9999842
 0.9999877  0.99999076 0.9999928  0.999994   0.9999943  0.99999416
 0.99999374 0.9999935  0.99999356 0.9999939  0.99999493 0.99999607
 0.99999744 0.99999857 0.99999934 0.9999995  0.99999917 0.99999815
 0.9999967  0.99999505 0.99999356 0.99999225 0.9999916  0.9999915
 0.9999918  0.99999243 0.9999927  0.9999918  0.99998856 0.99998176
 0.9999697  0.9999507  0.99992305 0.9998849  0.9998348 ]","[[1.1917555  0.57890373 1.4600105 ]
 [2.8592315  5.2235365  5.96183   ]
 [2.0002303  2.3609133  4.849595  ]]",trotter
15,15,2,False,"[1.0118316  1.0070361  1.0028957  0.99938804 0.996487   0.9941652
 0.9923905  0.9911303  0.99034774 0.99000466 0.9900597  0.9904706
 0.99119145 0.99217695 0.9933785  0.9947475  0.9962359  0.9977941
 0.9993749  1.0009313  1.0024197  1.0037986  1.0050303  1.006082
 1.0069261  1.0075414  1.0079122  1.0080318  1.0078989  1.0075221
 1.0069153  1.006101   1.0051081  1.0039712  1.002728   1.0014222
 1.0000969  0.99879616 0.9975627  0.99643517 0.9954486  0.9946305
 0.9940031  0.99358034 0.9933679  0.99336326 0.99355793 0.99393594
 0.99447566 0.9951527  0.99593925 0.99680793 0.9977316  0.99868464
 0.9996457  1.0005968  1.0015237  1.0024161  1.0032676  1.0040743
 1.004833   1.0055411  1.0061958  1.0067917  1.0073214  1.0077728
 1.0081345  1.0083889  1.0085192  1.008508   1.008338   1.0079954
 1.0074692  1.0067537  1.0058497  1.0047642  1.0035105  1.0021102
 1.0005903  0.99898416 0.99733    0.9956713  0.99405336 0.9925245
 0.99113333 0.9899296  0.98896146 0.9882762  0.9879183  0.9879295
 0.9883482  0.9892105  0.99054754 0.99238664 0.9947523  0.9976651
 1.0011405  1.0051935  1.0098332  1.0150669  1.0208987 ]","[[1.1917555  0.57890373 1.4600105 ]
 [2.8592315  5.2235365  5.96183   ]
 [2.0002303  2.3609133  4.849595  ]]",trotter
16,16,2,True,"[0.99999976 0.99999976 0.9999995  0.9999992  0.99999875 0.99999845
 0.9999981  0.999998   0.99999785 0.9999978  0.9999978  0.999998
 0.9999982  0.99999845 0.99999875 0.99999887 0.99999917 0.99999934
 0.99999934 0.9999994  0.9999994  0.9999994  0.99999934 0.9999992
 0.9999991  0.99999905 0.9999991  0.99999905 0.999999   0.999999
 0.999999   0.999999   0.9999989  0.9999989  0.99999875 0.9999987
 0.99999857 0.99999845 0.9999983  0.99999815 0.99999803 0.9999979
 0.99999785 0.9999978  0.99999803 0.9999981  0.9999983  0.99999845
 0.99999875 0.999999   0.9999993  0.9999995  0.9999996  0.99999964
 0.9999996  0.9999994  0.9999991  0.9999988  0.99999833 0.99999774
 0.99999714 0.99999654 0.999996   0.9999954  0.99999493 0.99999464
 0.99999446 0.99999446 0.99999464 0.9999949  0.9999953  0.9999958
 0.99999636 0.9999971  0.9999978  0.99999833 0.9999989  0.9999993
 0.9999994  0.99999946 0.99999934 0.99999905 0.9999985  0.9999979
 0.9999971  0.9999962  0.99999535 0.9999946  0.9999939  0.99999326
 0.999993   0.99999297 0.99999315 0.9999937  0.99999434 0.9999951
 0.99999607 0.9999969  0.9999975  0.99999785 0.99999744]","[[1.1847433 0.8002683 0.8142099]
 [2.5374844 2.595112  0.9241603]
 [1.9258064 2.1791065 5.1381617]]",trotter
17,17,2,False,"[1.0011597  0.99992126 0.9989264  0.99815327 0.99758023 0.99718636
 0.99695057 0.99685246 0.99687195 0.99698985 0.99718857 0.99745
 0.99775887 0.99809915 0.99845797 0.99882275 0.9991821  0.9995273
 0.9998495  1.0001421  1.0004001  1.0006188  1.0007964  1.0009314
 1.0010233  1.0010731  1.0010822  1.001054   1.000991   1.0008978
 1.0007783  1.0006377  1.0004802  1.0003113  1.0001355  0.99995804
 0.9997835  0.9996158  0.9994592  0.99931663 0.9991922  0.9990875
 0.9990053  0.998947   0.9989139  0.99890596 0.9989238  0.9989669
 0.9990348  0.9991257  0.9992382  0.99937034 0.9995197  0.99968404
 0.9998597  1.000044   1.0002339  1.0004253  1.0006149  1.0007991
 1.0009738  1.0011358  1.0012811  1.0014063  1.0015078  1.001583
 1.0016289  1.0016428  1.0016232  1.0015677  1.0014763  1.0013477
 1.0011823  1.0009813  1.0007458  1.0004785  1.0001823  0.9998613
 0.9995202  0.99916464 0.9988011  0.99843675 0.9980799  0.9977393
 0.9974247  0.9971462  0.99691516 0.9967429  0.9966416  0.99662435
 0.99670357 0.99689305 0.99720657 0.9976578  0.99826103 0.99902976
 0.9999786  1.0011212  1.0024711  1.0040418  1.0058467 ]","[[1.1847433 0.8002683 0.8142099]
 [2.5374844 2.595112  0.9241603]
 [1.9258064 2.1791065 5.1381617]]",trotter
18,18,2,True,"[0.99999994 0.9999998  0.9999991  0.9999983  0.99999726 0.99999654
 0.99999624 0.999996   0.99999607 0.9999964  0.9999967  0.9999972
 0.9999978  0.9999983  0.99999875 0.99999905 0.9999993  0.99999964
 0.9999997  0.9999998  0.9999998  0.99999994 0.9999999  0.99999976
 0.99999976 0.99999976 0.99999976 0.99999964 0.9999996  0.9999995
 0.9999995  0.9999994  0.99999934 0.9999994  0.9999994  0.99999934
 0.99999934 0.9999994  0.9999994  0.99999946 0.9999995  0.9999997
 0.99999964 0.99999976 0.9999998  0.9999998  0.99999976 0.9999999
 0.9999999  0.9999999  0.9999999  0.9999998  0.9999999  0.9999999
 0.9999998  0.99999976 0.99999976 0.9999997  0.99999964 0.9999996
 0.99999946 0.9999994  0.99999934 0.99999917 0.99999917 0.9999991
 0.999999   0.999999   0.9999989  0.99999905 0.99999917 0.99999917
 0.9999993  0.99999946 0.9999996  0.9999997  0.9999998  0.9999999
 0.99999994 0.9999999  0.9999998  0.99999964 0.99999946 0.9999992
 0.9999988  0.99999833 0.99999785 0.9999975  0.999997   0.99999666
 0.9999963  0.9999961  0.99999607 0.9999962  0.9999966  0.9999972
 0.9999979  0.9999987  0.99999934 0.99999964 0.9999992 ]","[[1.0622419  0.7172748  0.74912506]
 [0.05805328 4.4228964  3.9462566 ]
 [4.1480546  3.8902304  5.688337  ]]",trotter
19,19,2,False,"[1.0001354  0.9999717  0.99985284 0.9997709  0.999721   0.99969727
 0.99969375 0.99970615 0.9997294  0.99976015 0.99979484 0.9998307
 0.999866   0.9998987  0.9999278  0.99995315 0.9999737  0.9999907
 1.0000037  1.0000135  1.0000213  1.0000271  1.0000322  1.0000371
 1.0000417  1.0000478  1.0000544  1.0000615  1.0000696  1.0000778
 1.0000863  1.0000938  1.0000999  1.0001047  1.0001069  1.0001062
 1.0001017  1.0000942  1.0000823  1.0000671  1.0000484  1.0000262
 1.0000019  0.99997544 0.99994755 0.99991953 0.999892   0.99986595
 0.9998424  0.9998219  0.9998052  0.9997939  0.99978715 0.9997863
 0.9997911  0.9998015  0.9998177  0.99983937 0.9998656  0.9998962
 0.9999292  0.99996513 1.0000021  1.0000393  1.0000757  1.0001101
 1.000142   1.0001698  1.000193   1.0002114  1.0002241  1.0002307
 1.0002313  1.000226   1.0002146  1.0001969  1.0001743  1.0001459
 1.0001131  1.0000762  1.0000355  0.99999124 0.9999452  0.9998973
 0.9998484  0.9997998  0.9997522  0.999707   0.999666   0.99963033
 0.99960226 0.9995836  0.99957764 0.99958634 0.9996137  0.9996618
 0.999735   0.9998373  0.9999718  1.0001435  1.000356  ]","[[1.0622419  0.7172748  0.74912506]
 [0.05805328 4.4228964  3.9462566 ]
 [4.1480546  3.8902304  5.688337  ]]",trotter
